Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
188;6135000;1448411136;1563594752;3085820772;1067700;0;15700;0;0;0;0;0;0;1500;756;1116;0;76;0;1;
189;5195400;1449050112;1563594752;3085820772;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
190;6484900;1449775104;1563594752;3085820772;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
191;5798100;1450254336;1563594752;3085820772;1507800;0;17900;0;0;0;0;0;0;1500;756;1116;0;76;0;1;
192;5444800;1450491904;1563594752;3085820664;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
193;4764800;1450860544;1563594752;3085820664;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
194;5857300;1451347968;1563594752;3085820664;1116700;0;15800;0;0;0;0;0;0;2000;756;1116;0;76;0;1;
195;5562400;1451880448;1563594752;3085820664;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
196;5136100;1452224512;1563594752;3085820664;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
197;7854100;1453383680;1563594752;3085820664;1372600;0;15500;0;0;0;0;0;0;2200;756;1116;0;76;0;1;
198;6520400;1453953024;1563594752;3085820664;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
199;6933600;1462996992;1563594752;3085820664;1350900;0;15100;0;0;0;0;0;0;1600;756;1116;0;76;0;1;
200;5664100;1466376192;1563594752;3085820664;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
201;4355200;1466642432;1563594752;3085820664;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
202;5795800;1467101184;1563594752;3085820664;1271700;0;14200;0;0;0;0;0;0;1700;756;1116;0;76;0;1;
203;41470200;1477156864;1563594752;3085835900;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
204;19544900;1494888448;1563594752;3085863584;2209700;0;29600;0;0;0;0;0;0;3000;756;1116;0;76;0;1;
205;13922000;1504112640;1563594752;3085875676;2087100;0;35800;0;0;0;0;0;0;3700;756;1116;0;76;0;1;
206;11768800;1508462592;1563594752;3085885080;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
207;12976800;1513091072;1563594752;3102671700;1450500;0;15900;0;0;0;0;0;0;1500;756;1116;0;76;0;1;
208;6965900;1513611264;1563594752;3102671700;1488100;0;18100;0;0;0;0;0;0;1700;756;1116;0;76;0;1;
209;11666800;1522524160;1563594752;3102681104;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
